task_id_match,market_wage,platform,category
RLI-015,26.178079119625906,Upwork,Technical
RLI-054,28.246593070971045,Fiverr,Data
RLI-002,38.68607144339338,Upwork,Reasoning
RLI-011,44.02328933521558,Fiverr,Technical
RLI-084,41.45977543121717,Fiverr,Reasoning
RLI-055,48.50917837471901,Fiverr,Creative
RLI-009,49.719081619084726,Fiverr,Reasoning
RLI-038,32.23673269297767,Upwork,Data
RLI-069,39.88146752880231,Fiverr,Data
RLI-070,34.774185438092175,Upwork,Data
RLI-085,41.17098784630147,Fiverr,Reasoning
RLI-075,40.882765884005714,Upwork,Coding
RLI-091,37.23330415586735,Fiverr,Creative
RLI-024,46.77601947968732,Upwork,Data
RLI-040,45.466265001418066,Upwork,Reasoning
RLI-078,15.0,Upwork,Creative
RLI-099,45.59362306009233,Fiverr,Coding
RLI-094,15.0,Fiverr,Creative
RLI-025,41.46078414905374,Fiverr,Coding
RLI-001,20.584057740369012,Fiverr,Creative
RLI-032,31.321440146100638,Fiverr,Reasoning
RLI-072,41.86939523952721,Fiverr,Data
RLI-064,24.380285800644636,Fiverr,Coding
RLI-020,20.57237784963341,Upwork,Creative
RLI-000,27.570169665479415,Fiverr,Creative
RLI-043,30.887132280022097,Upwork,Technical
RLI-074,22.347846434158257,Upwork,Creative
RLI-041,50.40847748349376,Upwork,Reasoning
RLI-060,53.07969561900469,Fiverr,Coding
RLI-083,34.65848788533287,Fiverr,Reasoning
RLI-090,40.01374859479155,Fiverr,Technical
RLI-077,47.60526063139928,Upwork,Coding
RLI-086,46.211907883760986,Upwork,Reasoning
RLI-026,33.141738548452665,Fiverr,Data
RLI-037,54.206895997728964,Upwork,Coding
RLI-033,42.963035349538096,Upwork,Data
RLI-004,42.23564852898154,Fiverr,Reasoning
RLI-026,38.36050091298219,Upwork,Reasoning
RLI-056,51.31199229521309,Fiverr,Coding
RLI-018,37.555379815291815,Upwork,Creative
RLI-022,58.81214553307531,Fiverr,Reasoning
RLI-086,48.73614610637196,Fiverr,Data
RLI-032,46.46740456368222,Fiverr,Coding
RLI-056,39.11928656772096,Fiverr,Reasoning
RLI-029,59.477865056791984,Fiverr,Coding
RLI-084,51.69182946807236,Fiverr,Reasoning
RLI-015,33.247473544933186,Fiverr,Data
RLI-077,40.59478699150685,Upwork,Coding
RLI-014,48.23850060115194,Fiverr,Coding
RLI-090,25.06161603821184,Upwork,Creative
RLI-048,51.727508916809086,Upwork,Coding
RLI-064,27.451750932424428,Fiverr,Creative
RLI-014,45.164026186141896,Fiverr,Reasoning
RLI-049,38.32313335463901,Fiverr,Coding
RLI-049,31.171958680021156,Fiverr,Data
RLI-061,51.75680036398369,Fiverr,Coding
RLI-012,30.715035818001674,Fiverr,Coding
RLI-053,37.583379831809324,Fiverr,Reasoning
RLI-096,43.29475279644106,Fiverr,Creative
RLI-043,65.28255772403442,Fiverr,Coding
RLI-043,53.86015921535508,Upwork,Reasoning
RLI-018,31.018079483891544,Upwork,Creative
RLI-054,31.01099049582284,Fiverr,Creative
RLI-032,48.0425739496028,Fiverr,Data
RLI-001,56.79868087723648,Upwork,Data
RLI-045,49.51657445743254,Upwork,Data
RLI-018,36.2748316361925,Upwork,Creative
RLI-084,34.30284339316391,Fiverr,Technical
RLI-005,35.16309235961296,Fiverr,Data
RLI-005,49.5777199968184,Fiverr,Coding
RLI-039,41.33313628743619,Upwork,Technical
RLI-012,36.12239098857903,Upwork,Creative
RLI-094,48.80066067337019,Fiverr,Technical
RLI-086,34.590868399399234,Fiverr,Data
RLI-064,32.97160213018843,Upwork,Creative
RLI-078,22.172198015523715,Upwork,Reasoning
RLI-069,36.25426512481309,Fiverr,Creative
RLI-097,29.890938148437307,Upwork,Reasoning
RLI-058,33.12141074145369,Fiverr,Reasoning
RLI-000,65.68251910447866,Fiverr,Data
RLI-086,54.4305398287916,Fiverr,Data
RLI-013,18.68855789419825,Upwork,Data
RLI-014,30.01972881550026,Upwork,Reasoning
RLI-014,50.43753748512753,Fiverr,Reasoning
RLI-056,64.53060128495272,Upwork,Technical
RLI-035,33.85633704931932,Fiverr,Technical
RLI-015,38.93780207107348,Upwork,Data
RLI-070,36.63334038912801,Fiverr,Technical
RLI-005,50.020590478343195,Fiverr,Technical
RLI-018,46.05481662988642,Fiverr,Coding
RLI-095,33.502922492916326,Upwork,Technical
RLI-009,42.35244931761381,Fiverr,Data
RLI-045,39.295724184441006,Upwork,Creative
RLI-001,63.33802558304769,Upwork,Coding
RLI-044,70.59386356991521,Fiverr,Coding
RLI-038,41.30442891207508,Fiverr,Coding
RLI-029,54.45283186656355,Upwork,Coding
RLI-079,28.49903817425005,Fiverr,Creative
RLI-016,15.0,Fiverr,Creative
RLI-067,61.272146174513566,Upwork,Coding
RLI-043,39.26700626672382,Fiverr,Technical
RLI-018,28.694572320969392,Upwork,Creative
RLI-022,47.8028461956926,Fiverr,Technical
RLI-023,40.51276623257219,Upwork,Creative
RLI-065,40.184830948529864,Upwork,Coding
RLI-024,37.817327811690085,Upwork,Data
RLI-074,34.446631956545986,Upwork,Reasoning
RLI-072,55.315005884077415,Fiverr,Technical
RLI-008,47.15594560671899,Upwork,Technical
RLI-046,31.014665479208972,Fiverr,Reasoning
RLI-042,32.02788094079878,Upwork,Data
RLI-024,35.83380335920323,Fiverr,Creative
RLI-037,64.4463076001234,Upwork,Reasoning
RLI-094,37.62824387996326,Fiverr,Reasoning
RLI-085,59.86624831045163,Upwork,Data
RLI-007,59.86024902049312,Fiverr,Coding
RLI-004,35.434430195703364,Upwork,Technical
RLI-080,34.94012358474936,Upwork,Data
RLI-080,19.75640483061328,Upwork,Reasoning
RLI-065,42.9084453209247,Upwork,Coding
RLI-019,31.08050769456029,Upwork,Creative
RLI-017,60.7149685510487,Fiverr,Technical
RLI-037,48.75160596108432,Upwork,Technical
RLI-090,38.23888244548442,Fiverr,Technical
RLI-001,50.587686932380926,Fiverr,Technical
RLI-017,59.74634636920628,Upwork,Technical
RLI-010,53.00820677785573,Fiverr,Technical
RLI-043,30.370815937400273,Upwork,Reasoning
RLI-075,15.0,Fiverr,Creative
RLI-023,65.24240028785105,Fiverr,Coding
RLI-067,59.19953277176662,Upwork,Coding
RLI-045,36.211122401925536,Fiverr,Reasoning
RLI-091,44.38186197521131,Fiverr,Reasoning
RLI-067,33.48749417392398,Fiverr,Reasoning
RLI-084,43.27372349367045,Upwork,Technical
RLI-084,38.69402392330321,Fiverr,Reasoning
RLI-083,42.57766794812442,Upwork,Technical
RLI-026,44.467395269538784,Upwork,Technical
RLI-075,46.504830864616245,Upwork,Technical
RLI-012,39.42801777479218,Upwork,Data
RLI-027,19.420974075476042,Upwork,Creative
RLI-041,24.439003969470164,Fiverr,Technical
RLI-083,45.13833910297856,Upwork,Technical
RLI-024,41.627130758188166,Upwork,Technical
RLI-061,19.60264017072116,Fiverr,Creative
RLI-079,55.14774685843166,Upwork,Reasoning
RLI-060,49.92020660631092,Fiverr,Coding
RLI-038,54.293863309682266,Fiverr,Coding
RLI-029,52.73272274172819,Upwork,Coding
RLI-024,35.05168423408545,Fiverr,Data
RLI-050,49.16274284838144,Upwork,Technical
RLI-086,15.0,Fiverr,Data
RLI-006,30.40563089331971,Fiverr,Reasoning
RLI-066,43.960409334051214,Upwork,Technical
RLI-094,29.647499311619075,Fiverr,Creative
RLI-075,25.974784394001066,Fiverr,Data
RLI-073,43.78383055113322,Fiverr,Technical
RLI-015,58.995406889444766,Fiverr,Creative
RLI-099,41.432093060119094,Upwork,Coding
RLI-034,36.54040719678904,Fiverr,Reasoning
RLI-091,27.465079379135418,Fiverr,Creative
RLI-031,62.49238208876501,Fiverr,Coding
RLI-074,63.12684614796885,Fiverr,Technical
RLI-034,46.16649257919272,Upwork,Coding
RLI-047,42.62475939570432,Fiverr,Technical
RLI-033,36.50412782914097,Upwork,Data
RLI-094,54.79028834145553,Upwork,Coding
RLI-048,28.86236544361241,Fiverr,Creative
RLI-080,43.42208392978605,Upwork,Reasoning
RLI-032,60.28878145290858,Fiverr,Reasoning
RLI-037,53.090670095341885,Upwork,Coding
RLI-050,55.17784743388722,Fiverr,Coding
RLI-020,33.9077200155014,Upwork,Technical
RLI-078,58.545384835325606,Upwork,Coding
RLI-049,28.09082787486383,Upwork,Creative
RLI-065,38.10269398540389,Fiverr,Creative
RLI-081,41.500632569884885,Fiverr,Coding
RLI-021,51.64703859134603,Upwork,Coding
RLI-018,40.208511190566824,Fiverr,Data
RLI-028,26.35356772203621,Upwork,Creative
RLI-039,32.17115509629715,Upwork,Data
RLI-013,50.47757497620501,Fiverr,Technical
RLI-024,37.1721811951149,Upwork,Technical
RLI-053,45.08090770182851,Upwork,Reasoning
RLI-023,41.18281013242769,Fiverr,Coding
RLI-032,53.27525676339793,Fiverr,Technical
RLI-039,39.24086443359602,Upwork,Data
RLI-010,41.49090453094009,Fiverr,Technical
RLI-089,54.875514891960606,Fiverr,Coding
RLI-080,54.42818313807842,Upwork,Coding
RLI-028,52.80552279279582,Upwork,Technical
RLI-021,46.259339967913256,Fiverr,Coding
RLI-063,60.96016178369753,Upwork,Coding
RLI-030,43.74717816192687,Fiverr,Reasoning
RLI-049,33.51453180799876,Upwork,Reasoning
RLI-044,38.91139312961036,Upwork,Data
RLI-043,48.562200895304784,Upwork,Technical
RLI-011,53.69138514331848,Upwork,Coding
RLI-098,39.85320752680551,Fiverr,Data
RLI-045,28.3221692518097,Fiverr,Creative
